Job Title,Company,Location,Work Type,Salary,Link
Content Creator,iMoji Service,"Gubeng, Surabaya, Jawa Timur, Indonesia",+1,N/A,https://glints.com/id/opportunities/jobs/content-creator/efd1562f-813a-4064-83a8-59586258759a?utm_referrer=explore
Public Relations Intern,Compas.co.id,"Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",Magang,N/A,https://glints.com/id/opportunities/jobs/public-relations-intern/11c1807c-f749-44a1-83e8-b5b8218a1b9b?utm_referrer=explore
Sales Canvasser,PT Danamas Insan Kreasi Andalan (Jawa Timur),"Dungkek, Sumenep, Jawa Timur, Indonesia",Kurang dari setahun,N/A,https://glints.com/id/opportunities/jobs/sales-canvasser/3fc737cd-d44d-42f0-bd8c-b9076b7e863e?utm_referrer=explore
Marketing Communication Paid On-Site Internship,Nava Sinergi Lab,"Kapanewon Depok, Sleman, DI Yogyakarta, Indonesia",Minimal Diploma (D1 - D4),N/A,https://glints.com/id/opportunities/jobs/marketing-communication-paid-on-site-internship/662a66f6-6ad4-4868-886b-521f3c382c33?utm_referrer=explore
Intern Gudang,PT Onesia Nusantara Evolusi,"Cipondoh, Tangerang, Banten, Indonesia",Business Analyst,N/A,https://glints.com/id/opportunities/jobs/intern-gudang/208c8240-08ef-41a1-99a6-8adfff19f210?utm_referrer=explore
Operational Crew,PT. SUN Digital Teknologi Indonesia,"Dukuh Pakis, Surabaya, Jawa Timur, Indonesia",+2,N/A,https://glints.com/id/opportunities/jobs/operational-crew/71cfb841-34d1-4832-b73d-ab788d4f78ac?utm_referrer=explore
Technical Writer Intern,Mostrans Global Digilog,"Cempaka Putih, Jakarta Pusat, DKI Jakarta, Indonesia",Kontrak,N/A,https://glints.com/id/opportunities/jobs/technical-writer-intern/64119dfb-81df-4ab8-a1f3-c6abbde9859f?utm_referrer=explore
Sosial Media Specialist,PT Aventama Hervent Solusindo,"Lengkong, Bandung, Jawa Barat, Indonesia",Kurang dari setahun,N/A,https://glints.com/id/opportunities/jobs/sosial-media-specialist/94257e2c-6c12-472b-91d2-e1003f3cbeca?utm_referrer=explore
Talent Freelance,PT Kuaikuai Tech Indonesia (Pinjam Yuk),"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Minimal SMA/SMK,N/A,https://glints.com/id/opportunities/jobs/talent-freelance/91363cc9-2243-4de2-98af-8c6144e7dd78?utm_referrer=explore
Kurir Shopee Express,Finfleet,"Wiyung, Surabaya, Jawa Timur, Indonesia",Sales Marketing,N/A,https://glints.com/id/opportunities/jobs/kurir-shopee-express/fec85a34-14f7-455f-97e0-5580e00db6b4?utm_referrer=explore
Promotor (Bekasi),PT Arkana Advance Technology (Bang Jamin),"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",+2,N/A,https://glints.com/id/opportunities/jobs/promotor-bekasi/187c8501-e83c-4a1e-8833-c7729d538e20?utm_referrer=explore
Promotor (Tangerang),PT Arkana Advance Technology (Bang Jamin),"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Kontrak,N/A,https://glints.com/id/opportunities/jobs/promotor-tangerang/edb73ce5-fa96-4daf-9556-d87f684b86f8?utm_referrer=explore
Promotor (Depok),PT Arkana Advance Technology (Bang Jamin),"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Kurang dari setahun,N/A,https://glints.com/id/opportunities/jobs/promotor-depok/f427e9ad-1038-4c20-a3c5-5856a3178e5e?utm_referrer=explore
Promotor (Bogor),PT Arkana Advance Technology (Bang Jamin),"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Minimal SMA/SMK,N/A,https://glints.com/id/opportunities/jobs/promotor-bogor/233b361b-931a-4b8e-b5f2-55a686a11a4d?utm_referrer=explore
Customer Service,PT Bahtera Pesat Lintasbuana,"Balikpapan Timur, Balikpapan, Kalimantan Timur, Indonesia",SPG,N/A,https://glints.com/id/opportunities/jobs/customer-service/d3b413f0-1505-4868-a9e3-e19d082973d7?utm_referrer=explore
Social Media Internship,CatNClaw,"Kebayoran Lama, Jakarta Selatan, DKI Jakarta, Indonesia",Magang,"Rp1,5jt",https://glints.com/id/opportunities/jobs/social-media-internship/3e7f1553-b2a1-4936-9e15-d8e576857073?utm_referrer=explore
Staff Accounting,PT Karya Usaha Baru,"Gempol, Pasuruan, Jawa Timur, Indonesia",Kurang dari setahun,"Rp3,5jt-Rp6,5jt",https://glints.com/id/opportunities/jobs/staff-accounting/0c8fc13c-1e6f-417f-9d13-9be1208deef4?utm_referrer=explore
Packing,PT Karya Usaha Baru,"Sidoarjo, Sidoarjo, Jawa Timur, Indonesia",Minimal Diploma (D1 - D4),Rp3jt-Rp6jt,https://glints.com/id/opportunities/jobs/packing/3c462f3e-68de-4c5c-9b48-a27b4cd8dbeb?utm_referrer=explore
Driver,PT Karya Usaha Baru,"Sidoarjo, Sidoarjo, Jawa Timur, Indonesia",Content Creation,"Rp4,1jt-Rp5,5jt",https://glints.com/id/opportunities/jobs/driver/bf9347f8-6995-4714-a23e-29919e0fef4d?utm_referrer=explore
Tally,PT Karya Usaha Baru,"Sidoarjo, Sidoarjo, Jawa Timur, Indonesia",+2,Rp600rb-Rp1jt,https://glints.com/id/opportunities/jobs/tally/c692866a-2d81-4097-a6af-00aa444ae32d?utm_referrer=explore
JURU MASAK,PT Karya Usaha Baru,"Leces, Probolinggo, Jawa Timur, Indonesia",Penuh Waktu,Rp600rb-Rp1jt,https://glints.com/id/opportunities/jobs/juru-masak/baf26f96-5adb-4b87-841d-bfb1229f8061?utm_referrer=explore
IT Production Support & Quality Assurance Internship,SwipeRx,"Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",Kurang dari setahun,Rp600rb-Rp1jt,https://glints.com/id/opportunities/jobs/it-production-support-and-quality-assurance-internship/29cca88a-1ada-417a-bdba-d444628716e6?utm_referrer=explore
Freelance Game Content Creator,Yummy Yummy Tummy Inc,"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Minimal Sarjana (S1),Rp600rb-Rp1jt,https://glints.com/id/opportunities/jobs/freelance-game-content-creator/694fa451-59e9-4377-90ed-bf9751e7f723?utm_referrer=explore
Mitra Desk Collection Semarang,PT. Ewaysindo Makmur (Wgroup ID),"Pedurungan, Semarang, Jawa Tengah, Indonesia",Berpengalaman,Rp600rb-Rp1jt,https://glints.com/id/opportunities/jobs/mitra-desk-collection-semarang/dc31c92f-7d31-4335-a2d8-2d1148159604?utm_referrer=explore
Posisi Bidang Akuntansi & Keuangan Lainnya,VW AUDI ALL ROAD,"Ciputat, Tangerang Selatan, Banten, Indonesia",Ms Office,N/A,https://glints.com/id/opportunities/jobs/posisi-bidang-akuntansi-and-keuangan-lainnya/02647ddf-c0e8-40e7-ab35-8295e1d47f8b?utm_referrer=explore
Graphic Designer (Paid Internship),Pnd Ice Making System,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia",+5,N/A,https://glints.com/id/opportunities/jobs/graphic-designer-paid-internship/b6762346-339d-4b86-b51e-34eef49e3410?utm_referrer=explore
Guru Bimbel,Kahar Kids Club,"Cipondoh, Tangerang, Banten, Indonesia",Penuh Waktu,N/A,https://glints.com/id/opportunities/jobs/guru-bimbel/cc78473e-3b86-44e6-9e41-e53314de02eb?utm_referrer=explore
Tentor Sejarah,Delta Bimbel,"Puri, Mojokerto, Jawa Timur, Indonesia",Kurang dari setahun,N/A,https://glints.com/id/opportunities/jobs/tentor-sejarah/cc254c70-fca7-4291-bd62-9e9d8e6a5620?utm_referrer=explore
Tentor Bahasa Inggris,Delta Bimbel,"Puri, Mojokerto, Jawa Timur, Indonesia",Minimal SMA/SMK,N/A,https://glints.com/id/opportunities/jobs/tentor-bahasa-inggris/660ff2e8-c7e9-4712-985d-5dedd4550b6c?utm_referrer=explore
